lon,lat,FIV3(0.1)-0.02,FIV3(0.1)-0.1,FIV3(1.0)-0.02,FIV3(1.0)-0.1
-122.47743,37.17624,3.417315E+01,1.916800E+01,1.842493E+02,1.059579E+02
-122.47742,37.18524,3.468421E+01,1.996461E+01,1.916793E+02,1.048425E+02
-122.47742,37.19423,3.518879E+01,2.008573E+01,1.852271E+02,1.043844E+02
-122.47742,37.20322,3.461779E+01,2.045931E+01,2.057084E+02,1.129084E+02
-122.47742,37.21222,3.387947E+01,2.010781E+01,1.923451E+02,1.016296E+02
-122.47741,37.22121,3.612144E+01,1.965645E+01,2.128646E+02,1.124887E+02
-122.47741,37.23020,3.518021E+01,2.073459E+01,1.997408E+02,1.112996E+02
-122.47741,37.23920,3.666935E+01,2.165760E+01,2.143568E+02,1.089927E+02
-122.47740,37.24819,3.600573E+01,2.070854E+01,1.936092E+02,1.077881E+02
-122.47740,37.25718,3.836670E+01,2.140644E+01,2.356229E+02,1.180719E+02
-122.47740,37.26618,3.846535E+01,2.162581E+01,2.180901E+02,1.117359E+02
-122.47740,37.27517,3.962071E+01,2.216989E+01,2.376714E+02,1.132890E+02
-122.47739,37.28416,3.668271E+01,2.116511E+01,2.074020E+02,1.149101E+02
-122.47739,37.29316,4.135451E+01,2.277284E+01,2.210448E+02,1.163962E+02
-122.47739,37.30215,4.126240E+01,2.244800E+01,2.625009E+02,1.230708E+02
-122.47739,37.31114,3.640170E+01,2.146734E+01,2.382374E+02,1.188871E+02
-122.47738,37.32014,4.448083E+01,2.307462E+01,2.400926E+02,1.231920E+02
-122.47738,37.32913,4.221158E+01,2.351302E+01,2.243771E+02,1.204420E+02
-122.47738,37.33812,3.990642E+01,2.357644E+01,2.467456E+02,1.220220E+02
-122.47737,37.34712,4.417116E+01,2.426557E+01,2.341859E+02,1.278308E+02
-122.47737,37.35611,4.347922E+01,2.467008E+01,2.611440E+02,1.287602E+02
-122.47737,37.36510,4.534724E+01,2.483349E+01,2.633470E+02,1.282835E+02
-122.47737,37.37409,4.718377E+01,2.522823E+01,2.664859E+02,1.342311E+02
-122.47736,37.38309,4.588155E+01,2.480226E+01,2.804093E+02,1.370544E+02
-122.47736,37.39208,4.927030E+01,2.540490E+01,2.867492E+02,1.366961E+02
-122.47736,37.40107,5.155391E+01,2.938952E+01,2.989502E+02,1.432227E+02
-122.47736,37.41007,5.415841E+01,2.695853E+01,2.925443E+02,1.413090E+02
-122.47735,37.41906,5.123615E+01,2.764924E+01,3.401060E+02,1.516477E+02
-122.47735,37.42805,5.540696E+01,2.886896E+01,3.058409E+02,1.514827E+02
-122.47735,37.43705,5.756544E+01,2.860613E+01,3.037227E+02,1.546180E+02
-122.47734,37.44604,5.840807E+01,2.858630E+01,3.158668E+02,1.556328E+02
-122.47734,37.45503,5.629477E+01,2.935212E+01,3.449871E+02,1.598423E+02
-122.47734,37.46403,6.086275E+01,2.959324E+01,3.322151E+02,1.667130E+02
-122.47734,37.47302,6.563436E+01,3.057595E+01,3.453648E+02,1.691065E+02
